time,url,dcl,load,fcp,lcp,cls,fid
1671615497.577,http://localhost:3001/,686,1495.1000000089407,680.3000000119209,901.7,0.0788445923298093,3.5999999940395355
1671615574.872,http://localhost:3000/,697.7000000029802,1333.7000000029802,691.4000000059605,910.9,0.11103750345675144,2.9000000059604645
1671615651.057,http://localhost:3000/,697.7000000029802,1333.7000000029802,691.4000000059605,910.9,0.11103750345675144,2.9000000059604645
1671615665.251,http://localhost:3000/,666.5,4762.4000000059605,660.9000000059605,875.299,0.11108721918729113,0
1671616854.71,http://localhost:3000/,673.1000000089407,1309,672.2000000029802,885,0.11103750345675144,0
1671616857.231,http://localhost:3000/,673.1000000089407,1309,672.2000000029802,885,0.11103750345675144,0
1671616879.237,http://localhost:3000/,673.1000000089407,1309,672.2000000029802,885,0.11103750345675144,0
1671616892.389,http://localhost:3000/,704,1479.3999999910593,697.7000000029802,911.599,0.08739332356257154,0
1671616895.107,http://localhost:3000/,724.7000000029802,1358.2000000029802,713.7000000029802,917.7,0.0788445923298093,0
1671616897.218,http://localhost:3000/,704,1479.3999999910593,697.7000000029802,911.599,0.08739332356257154,0
1671616902.999,http://localhost:3000/,724.7000000029802,1358.2000000029802,713.7000000029802,917.7,0.0788445923298093,4.200000002980232
1671616925.045,http://localhost:3000/,663.2000000029802,12432.90000000596,656.9000000059605,912.7,0.11115248652229531,0
1671616933.665,http://localhost:3000/,687.5,1351.2000000029802,681.6000000089407,898.5,0.11103750345675144,0
1671616938.094,http://localhost:3000/,713.5999999940395,1353.8999999910593,705.6999999880791,915.199,0.06486825488124964,0
1671616941.942,http://localhost:3000/,713.5999999940395,1353.8999999910593,705.6999999880791,915.199,0.06486825488124964,0
1671616947.659,http://localhost:3000/,713.5999999940395,1353.8999999910593,705.6999999880791,915.199,0.06486825488124964,0
1671616961.261,http://localhost:3000/,713.5999999940395,1353.8999999910593,705.6999999880791,915.199,0.06486825488124964,0
1671616963.845,http://localhost:3000/,679,1309.7000000029802,677.5999999940395,897.9,0.0788445923298093,0
1671617014.972,http://localhost:3000/,679,1309.7000000029802,677.5999999940395,897.9,0.0788445923298093,0
1671617021.549,http://localhost:3000/,235.20000000298023,789.2999999970198,234.29999999701977,298.5,0.0788445923298093,4
1671617041.504,http://localhost:3000/,199.8999999910593,11345.29999999702,198.8999999910593,269.599,0.11115248652229531,0
1671617051.153,http://localhost:3000/,223.59999999403954,792.0999999940395,218,279.099,0.11103750345675144,0
1671617063.575,http://localhost:3000/,225,936,219.69999998807907,284,0.11103750345675144,0
1671617079.937,http://localhost:3000/,194.8999999910593,7835.79999999702,193.79999999701977,268.2,0.11115264689561964,0
1671617097.097,http://localhost:3000/,214.70000000298023,665.2000000029802,213.59999999403954,289.2,0.11103750345675144,0
1671617108.839,http://localhost:3000/,222.79999999701977,714.9000000059605,218.1000000089407,293.2,0.11103750345675144,0
1671617125.227,http://localhost:3000/,195.1000000089407,8531,190.90000000596046,275.9,0.11204134742894745,0
1671617352.981,http://localhost:3000/,215.70000000298023,743.2999999970198,214.5,282.599,0.11103750345675144,0
1671617862.471,http://localhost:3000/,215.70000000298023,743.2999999970198,214.5,282.599,0.11103750345675144,1.2999999970197678
1671617871.793,http://localhost:3000/,215.70000000298023,743.2999999970198,214.5,282.599,0.11103750345675144,1.2999999970197678
1671618155.281,http://localhost:3000/,215.70000000298023,743.2999999970198,214.5,282.599,0.11103750345675144,1.2999999970197678
1671618156.014,http://localhost:3000/,215.70000000298023,743.2999999970198,214.5,282.599,0.11103750345675144,1.2999999970197678
1671618156.61,http://localhost:3000/,215.70000000298023,743.2999999970198,214.5,282.599,0.11103750345675144,1.2999999970197678
1671618410.361,http://localhost:3000/,215.70000000298023,743.2999999970198,214.5,282.599,0.11103750345675144,1.2999999970197678
1671618415.395,http://localhost:3000/,322.6000000089407,535.3000000119209,279.30000001192093,279.3,0.08739332356257154,0
1671618427.484,http://localhost:3000/,281.8999999910593,510.29999999701977,236.59999999403954,236.7,0.08744319966643556,0
1671618433.565,http://localhost:3000/,289.5,496.69999998807907,249.3999999910593,249.5,0.08739332356257154,0
1671618456.621,http://localhost:3000/,289.5,496.69999998807907,249.3999999910593,249.5,0.08739332356257154,1.9000000059604645
1671618468.678,http://localhost:3000/,286.69999998807907,502.09999999403954,242.3999999910593,242.399,0.08744319966643556,0
1671618482.232,http://localhost:3000/,297.5,503.90000000596046,256,256,0.08739332356257154,2.0999999940395355
1671618514.443,http://localhost:3000/,297.5,503.90000000596046,256,256,0.08739332356257154,2.0999999940395355
1671618526.574,http://localhost:3000/,300.6000000089407,570.2999999970198,256.1000000089407,256.2,0.08744303929311124,0
1671618548.569,http://localhost:3000/,297.59999999403954,502.79999999701977,253.8999999910593,253.899,0.08739332356257154,0
1671619662.962,http://localhost:3000/,297.59999999403954,502.79999999701977,253.8999999910593,253.899,0.08739332356257154,0
1671619682.148,http://localhost:3000/,306.29999999701977,521.0999999940395,304,304.099,0.10582373738930337,1.8999999910593033
1671619692.929,http://localhost:3000/,235,491.90000000596046,233.40000000596046,233.5,0.08744319966643556,0
1671619808.461,http://localhost:3000/,257.6000000089407,465.90000000596046,255.6000000089407,255.6,0.08739332356257154,0
1671621261.111,http://localhost:3000/,257.6000000089407,465.90000000596046,255.6000000089407,255.6,0.08739332356257154,0
1671621271.956,http://localhost:3000/,241.5,519.0999999940395,238.29999999701977,238.4,0.08744303929311124,0
1671621514.531,http://localhost:3000/,249.59999999403954,458.79999999701977,248.20000000298023,248.2,0.08739332356257154,0
1671621518.045,http://localhost:3000/,249.59999999403954,458.79999999701977,248.20000000298023,248.2,0.08739332356257154,0
1671621546.188,http://localhost:3000/,249.59999999403954,458.79999999701977,248.20000000298023,248.2,0.08739332356257154,0
1671621571.108,http://localhost:3000/,249.59999999403954,458.79999999701977,248.20000000298023,248.2,0.10465509080579857,3.2999999970197678
1671621620.142,http://localhost:3000/,249.59999999403954,458.79999999701977,248.20000000298023,248.2,0.13386693564073204,3.2999999970197678
1671621653.258,http://localhost:3000/,249.59999999403954,458.79999999701977,248.20000000298023,248.2,0.13386693564073204,3.2999999970197678
1671621678.639,http://localhost:3000/,249.59999999403954,458.79999999701977,248.20000000298023,248.2,0.13386693564073204,3.2999999970197678
1671621689.446,http://localhost:3000/,236.59999999403954,511.69999998807907,235,235.099,0.08744319966643556,0
1671621875.58,http://localhost:3000/,253.70000000298023,461.20000000298023,251.70000000298023,251.7,0.08739332356257154,0
1671622415.7,http://localhost:3000/,253.70000000298023,461.20000000298023,251.70000000298023,251.7,0.08739332356257154,0
